,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,accommodates,host_is_superhost,host_response_rate,host_response_time,listing_url,maximum_nights,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,distancia
9408,577627962007888388,CLUBE Charming Apartments - Clerigos DLX 4.2,419998595.0,CLUBE Charming Apartments,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146263,-8.612245,Entire home/apt,88.0,2.0,14.0,2022-10-15,1.63,21.0,365.0,14.0,125043/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/577627962007888388,365.0,Entire rental unit,4.64,4.71,4.43,4.71,4.64,4.5,4.43,0.3877712970226545
9409,577632454918828376,CLUBE Charming Apartments - São Bento 1F,419998595.0,CLUBE Charming Apartments,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1460726,-8.608347199999999,Entire home/apt,66.0,2.0,10.0,2022-11-28,2.26,21.0,365.0,10.0,130202/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/577632454918828376,365.0,Entire rental unit,4.8,4.7,4.7,4.5,4.7,4.3,4.2,0.44669049453146586
9410,583013467341188926,Old Town with direct Metro connection to airport,107777307.0,Lola & Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145035,-8.611903,Entire home/apt,69.0,4.0,13.0,2022-09-24,1.58,2.0,342.0,13.0,124462/AL,2.0,t,0.0,nan,https://www.airbnb.com/rooms/583013467341188926,45.0,Entire rental unit,5.0,5.0,5.0,5.0,5.0,4.92,4.69,0.5145054480975905
9411,577632508141426482,CLUBE Charming Apartments - Clerigos DLX 4.3,419998595.0,CLUBE Charming Apartments,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146263,-8.612245,Entire home/apt,81.0,2.0,10.0,2022-12-04,1.28,21.0,357.0,10.0,92802/AL,6.0,f,100.0,within an hour,https://www.airbnb.com/rooms/577632508141426482,365.0,Entire rental unit,4.1,4.8,3.8,5.0,4.8,4.0,4.0,0.3877712970226545
9413,588256247606452014,Porto Belomonte - 5º G,193654119.0,Florinda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.142563,-8.616753,Entire home/apt,99.0,2.0,14.0,2022-10-30,1.86,8.0,0.0,14.0,97892/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/588256247606452014,365.0,Entire rental unit,5.0,5.0,5.0,4.93,5.0,4.93,4.93,0.9232897053001351
9414,577999183308398032,GuestReady - Porto Saudade,448546653.0,Jessica,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1543,-8.62503,Entire home/apt,34.0,1.0,39.0,2022-12-09,4.37,1.0,271.0,39.0,105123/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/577999183308398032,365.0,Entire rental unit,4.51,4.05,4.51,4.51,4.28,4.26,4.38,1.2933425502367846
9415,588408913339001197,GH Apartments 2F - Luxury Flat no coração do Porto,450808013.0,GH Apartments,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.150059,-8.619611,Entire home/apt,150.0,2.0,0.0,nan,1.7433333333333334,2.0,364.0,0.0,121925/AL,3.0,f,50.0,within a day,https://www.airbnb.com/rooms/588408913339001197,30.0,Entire serviced apartment,4.226666666666667,4.4366666666666665,4.109999999999999,4.646666666666667,4.6499999999999995,4.23,4.093333333333334,0.7311453527661743
9416,583070095676930626,Cosy studio - Old Porto,374552694.0,Joffrey,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15021133422852,-8.617094993591309,Entire home/apt,78.0,2.0,21.0,2022-10-24,2.54,1.0,0.0,21.0,113447/AL,2.0,f,0.0,nan,https://www.airbnb.com/rooms/583070095676930626,1125.0,Entire rental unit,4.81,4.86,5.0,4.57,4.86,4.57,4.67,0.5231342821723949
9419,578062096184345011,Apartamento  Encantador no centro da cidade do Por,28504504.0,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15257,-8.60584,Entire home/apt,50.0,3.0,3.0,2022-06-13,0.36,10.0,364.0,3.0,7135/AL,4.0,t,100.0,within an hour,https://www.airbnb.com/rooms/578062096184345011,365.0,Entire rental unit,4.33,4.67,4.67,4.33,4.33,3.67,3.67,0.537170294157972
9420,588485604965580976,Design Magalhaes by Homing,261736034.0,Homing Porto,PORTO,Campanhã,41.15896,-8.59165,Entire home/apt,60.0,1.0,11.0,2022-11-02,1.29,44.0,353.0,11.0,103477/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/588485604965580976,1125.0,Entire rental unit,4.0,4.18,3.91,4.18,4.0,3.82,3.91,1.9185186859488133
9421,578099046453670035,Nomad's Formosa Comfort - 1bed Porto,164595585.0,Nomad City Flats,PORTO,Bonfim,41.14778,-8.60133,Entire home/apt,87.0,1.0,4.0,2022-10-16,0.61,38.0,268.0,4.0,123224/AL,2.0,f,100.0,within a few hours,https://www.airbnb.com/rooms/578099046453670035,1125.0,Entire rental unit,4.25,4.25,4.75,4.25,5.0,4.0,4.25,0.8264594674685013
9422,583136750762297471,Cozy Studio,449678929.0,Cristiana,PORTO,Bonfim,41.14398,-8.59833,Entire home/apt,31.0,1.0,47.0,2022-11-07,5.73,2.0,201.0,47.0,125452/AL,2.0,f,100.0,within an hour,https://www.airbnb.com/rooms/583136750762297471,1125.0,Entire rental unit,4.79,4.94,4.89,4.91,4.64,4.77,4.66,1.2240579694457963
9423,578155907791955377,One bedroom apartment in Porto up to 4,422972577.0,Joana,PORTO,Ramalde,41.16654,-8.65499,Entire home/apt,50.0,4.0,19.0,2022-11-01,2.14,2.0,158.0,19.0,32766/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/578155907791955377,1125.0,Entire condo,4.16,4.11,4.0,4.0,4.53,4.16,4.05,4.143985966401078
9424,588834408353608159,"Sunny 2 bedroom penthouse, downtown - Batalha",192739665.0,Jéssica,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14445,-8.60597,Entire home/apt,142.0,30.0,24.0,2022-10-30,2.81,18.0,274.0,24.0,124734/AL,6.0,t,100.0,within an hour,https://www.airbnb.com/rooms/588834408353608159,1125.0,Entire rental unit,4.88,4.92,4.92,4.79,4.92,4.83,4.79,0.7059298258935016
9425,578204414383794731,Quarto Duplo Casal Varanda suite,250524263.0,Entre Amigos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.160397,-8.607632,Private room,40.0,5.0,0.0,nan,0.7833333333333333,28.0,102.0,0.0,93125/AL,2.0,f,100.0,within an hour,https://www.airbnb.com/rooms/578204414383794731,28.0,Private room in rental unit,5.0,4.916666666666667,4.75,5.0,5.0,4.916666666666667,4.916666666666667,1.231353519674845
9426,589076639007626585,TOMAS LOFT,139110639.0,Ruis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14804,-8.60244,Entire home/apt,201.0,2.0,35.0,2022-12-06,4.17,59.0,344.0,35.0,124609/AL,4.0,t,100.0,within an hour,https://www.airbnb.com/rooms/589076639007626585,365.0,Entire rental unit,5.0,4.94,4.86,4.91,4.83,4.94,4.89,0.7292866871736645
9427,589092685499573590,Charming and bright Almada flat - With AC!,130805492.0,Marta,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.152782,-8.611765,Entire home/apt,52.0,1.0,30.0,2022-11-07,3.49,45.0,339.0,30.0,119413/AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/589092685499573590,365.0,Entire serviced apartment,4.9,4.97,4.73,4.87,4.87,4.83,4.8,0.36115843417934046
