name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Cosy Room on the beach - Espinho,4487775,Vitor,ESPINHO,Espinho,41.01024,-8.64453,Private room,50,2,106,2022-10-17,1.31,2,174,22,52007/AL
Studio au coeur des caves de Porto,28050358,Reis De Gaia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13545,-8.6115,Entire home/apt,69,1,15,2022-10-24,0.16,6,43,3,
MyRiverPlace 1  Charming Apartments,1872636,Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13601,-8.61159,Entire home/apt,64,2,346,2022-11-26,3.74,6,231,70,62446/AL
Porto Natura Guesthouse,28065058,Porto Natura,VALONGO,Valongo,41.19887,-8.49864,Entire home/apt,239,3,73,2022-08-16,0.79,2,229,5,9664/AL
ORM - Cristal Apartment,19887538,Oporto Rental Management,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14768,-8.62211,Entire home/apt,46,1,277,2022-12-03,2.9,42,350,32,64646/AL
T2 Recuado praia,28801778,Jorge,VILA DO CONDE,Mindelo,41.3065,-8.73612,Entire home/apt,50,5,34,2022-12-09,0.38,1,359,7,44674/AL
Great 4 bedroom near Casa da Música,5070279,Tiago,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15896,-8.63446,Entire home/apt,229,2,105,2022-10-26,1.14,3,355,16,23392/AL
Porto Downtown River 1,12412664,Dolores,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14267,-8.61769,Entire home/apt,70,3,207,2022-11-24,2.21,4,174,38,28995/AL
Casa da Trapa- casa de campo,32063640,Amélia,OLIVEIRA DE AZEMÉIS,Vila de Cucujães,40.87473,-8.48486,Entire home/apt,168,2,58,2022-09-22,0.65,1,9,3,5697/AL
Downtown apartment,23953214,Cristiano,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14217,-8.61491,Entire home/apt,121,2,139,2022-11-06,1.5,4,352,24,53401/AL
JF Cozy Apartment DOWNTOWN,28389484,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14778,-8.61501,Entire home/apt,46,2,320,2022-10-30,3.4,2,359,34,10994/AL
GuestReady - Belle Epoque Apartments - 3.2,15809545,Olivia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14413,-8.6127,Entire home/apt,43,1,148,2022-11-26,1.59,7,286,45,14519 AL
Baixa24 - P1L - Large downtown studio w/ balcony,252729505,Alex,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14932,-8.61299,Entire home/apt,46,2,625,2022-11-21,6.6,18,272,34,12465/AL
Casa de Praia,30869655,Carlos,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.40667,-8.78162,Entire home/apt,90,2,120,2022-10-19,1.29,1,249,17,
Porto Natura Guesthouse,28065058,Porto Natura,VALONGO,Valongo,41.1994,-8.49909,Private room,199,3,18,2019-09-23,0.2,2,243,0,9664/AL
"Oporto friendly apartment! (0,7km Botanic Garden)",14988987,Sorin,PORTO,Lordelo do Ouro e Massarelos,41.15622,-8.64788,Entire home/apt,46,2,24,2019-09-01,0.43,1,0,0,71108/AL
Apartment with pool view,30900606,Daniela,PORTO,Bonfim,41.16121,-8.59401,Entire home/apt,61,2,150,2022-12-01,1.62,2,51,15,16825/AL
Dream_Casa Sol_double bed_private bathroom_Terrace,32847499,Isa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15842,-8.60855,Private room,50,2,371,2022-11-01,4.04,2,339,12,38659/AL
Apartamento com terraço no centro,8288288,Paulo,PORTO,Bonfim,41.14743,-8.60107,Entire home/apt,54,2,106,2022-10-30,1.34,2,28,3,43285/AL
Your FLAT in Oporto,13611961,Sílvia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15319,-8.6102,Entire home/apt,29,2,513,2022-11-30,5.41,2,166,60,8976/AL
Studio Terrasse au caves de Porto,28050358,Reis De Gaia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13507,-8.61325,Entire home/apt,79,1,1,2021-11-01,0.07,6,39,0,
Portodouro - Santa Catarina T1,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15251,-8.60576,Entire home/apt,50,3,72,2022-10-06,0.77,10,364,8,6714/AL
Porto downtown private room,7270276,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15159,-8.61462,Private room,35,1,2,2016-08-01,0.03,1,0,0,
Douro Sunset House,30953463,Ricardo,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13696,-8.61101,Entire home/apt,210,3,289,2022-11-20,3.12,1,326,41,41012/AL
ALMADA APARTMENT DELUXE,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15129,-8.61199,Entire home/apt,86,2,82,2022-12-01,0.88,4,28,7,90430/AL
Guesthouse Pool&Sea Espinho Oporto,6317610,Isa,ESPINHO,Anta e Guetim,40.99953,-8.61717,Private room,60,2,31,2022-08-18,0.35,2,365,6,
A HOUSE WITH A VIEW-Historic centre,491241,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14551,-8.62066,Entire home/apt,125,2,275,2022-11-27,3.22,1,333,43,21443/AL
Aguda Beachfront Apartment,30999714,Maria,VILA NOVA DE GAIA,Arcozelo,41.04701,-8.65258,Entire home/apt,100,6,44,2022-11-06,0.5,1,315,10,38781/AL
Casa do Souto a home with a soul in the city heart,7333910,Bárbara,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14403,-8.61217,Entire home/apt,45,2,490,2022-12-06,5.21,2,246,61,45726/AL
"""Casa do Sol"" Apartment",28701258,Fernando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14327,-8.6046,Entire home/apt,74,3,161,2022-11-27,1.73,3,288,25,11254/AL
Balcony of Douro riverfronts,33237153,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13823,-8.60969,Private room,85,2,488,2022-12-02,5.33,3,228,51,19822/AL
Viewpoint of Douro riverfronts,33237153,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13813,-8.6098,Private room,74,2,502,2022-12-11,5.46,3,251,52,19822/AL
Portodouro - Santa Catarina T1,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15312,-8.60487,Entire home/apt,57,3,60,2022-10-19,0.64,10,364,10,7133/AL
casabonjardim - historic center,32737881,Irene Jesus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15386,-8.60782,Entire home/apt,42,4,238,2022-10-31,2.59,2,73,7,AL-38370
Shining view in the city heart 8,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14297,-8.61781,Entire home/apt,105,2,17,2022-09-28,0.18,15,358,2,5929/AL
"room2duplexapartment, Cedofeita Duplex",33298546,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15599,-8.61922,Private room,43,2,362,2022-11-08,3.93,2,355,44,116568/AL
Portodouro - Ribeira T3 with Terrace,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14122,-8.61723,Entire home/apt,100,3,76,2022-11-21,0.81,10,245,24,7334/AL
Charming Apartement,31041653,Jorge,VILA NOVA DE GAIA,Madalena,41.10336,-8.65398,Entire home/apt,150,2,39,2022-09-10,0.5,1,358,6,5979282
Apartment with balcony and city view by YoursPorto,1675750,YoursPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14002,-8.61518,Entire home/apt,53,1,42,2022-08-02,0.45,19,340,11,17887/AL
DOWNTOWN DESIGN APARTMENT – S. Domingos,33308074,Sónia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14134,-8.61529,Entire home/apt,85,3,303,2022-12-06,4.04,1,245,74,55361/AL
Secret Garden - Art & living,31099537,Paulo,PORTO,Paranhos,41.16325,-8.60852,Entire home/apt,50,150,182,2021-12-13,1.96,1,263,0,374911/AL
"Explore Porto's From a Charming Flat in Se, with River View",18052483,Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14134,-8.6118,Entire home/apt,81,2,556,2022-12-10,6.03,2,257,77,21573/AL
Portodouro - Ribeira T3,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14134,-8.61732,Entire home/apt,95,3,19,2022-09-04,0.35,10,230,8,5116/AL
Qta São Miguel de Arcos Double Room,28851633,António,VILA DO CONDE,Rio Mau e Arcos,41.39706,-8.66574,Private room,70,1,9,2022-08-06,0.1,2,326,5,
Qta. São Miguel de Arcos -Apartment,28851633,António,VILA DO CONDE,Rio Mau e Arcos,41.3975,-8.66511,Entire home/apt,93,1,8,2022-07-29,0.1,2,338,1,
Beach House (Plage/Praia) Aguda PRT,11619726,Elisa,VILA NOVA DE GAIA,Arcozelo,41.0491,-8.65398,Entire home/apt,79,2,126,2022-10-29,1.37,3,283,26,85162/AL
Apartment Alegria | Oporto Center,28804031,Joana E Cláudio,PORTO,Bonfim,41.14393,-8.59876,Entire home/apt,55,1,151,2022-11-22,1.84,2,353,36,94270/AL
Panoramic Douro view | Porto center,28804031,Joana E Cláudio,PORTO,Bonfim,41.143433,-8.598764,Entire home/apt,51,1,184,2022-11-06,2.26,2,319,42,94270/AL
Sea man house,33553348,Odete,VILA NOVA DE GAIA,Arcozelo,41.04991,-8.65493,Entire home/apt,39,3,111,2022-11-05,1.21,1,314,23,14455/AL
Liiiving in Porto | Garden Pool House,30907275,Liiiving,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15743,-8.67594,Entire home/apt,169,2,34,2022-09-22,0.37,113,0,3,78404/AL
Oporto flowers city center,10179479,Mario & Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14475,-8.61245,Entire home/apt,37,2,207,2022-11-30,3.7,2,290,65,
My Home,29023581,"Paulo Filipe Soares Unipessoal, Lda",MATOSINHOS,Matosinhos e Leça da Palmeira,41.17564,-8.68739,Entire home/apt,68,2,13,2017-07-05,0.14,1,0,0,44541/AL
Suite Prestige - Bedroom with private bathroom,31169881,Óscar E Cris,PORTO,Lordelo do Ouro e Massarelos,41.15473,-8.66262,Private room,45,2,16,2019-08-20,0.2,1,0,0,
Cozy room in Porto downtown,10168767,Peterson,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15679,-8.62102,Private room,200,2,171,2022-02-26,1.82,2,356,4,
Oportoflowers In the heart of city,10179479,Mario & Ana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14391,-8.61241,Entire home/apt,41,2,418,2022-11-27,4.54,2,215,64,
LOFT ALMADA APARTMENTS 1/4 GUESTS,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15129,-8.61199,Entire home/apt,51,2,37,2022-12-08,0.4,4,114,1,210947/AL
ALUGO T2 EM EDIFÍCIO FRENTE AO MAR,29086774,Manuel,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.39834,-8.77871,Entire home/apt,58,8,3,2022-09-25,0.19,1,0,2,
Feel Porto Ribeira Vintage Duplex,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14116,-8.61329,Entire home/apt,329,1,127,2022-12-11,1.39,86,320,18,26386/AL
Charming Apartment in Porto,789887,Bravo` S,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14811,-8.61507,Entire home/apt,236,2,141,2022-11-27,1.65,2,353,38,84721/AL
T1 au centre des caves de Porto....,28050358,Reis De Gaia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1365,-8.61304,Entire home/apt,99,1,7,2022-10-08,0.08,6,42,3,
Large Studio with great views - Clérigos,33634570,Tripas-Coração,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145214,-8.616166,Entire home/apt,65,2,344,2022-12-13,3.76,33,343,32,22170/AL
Downtown Terrace Apartment,32788217,Miguel,PORTO,Bonfim,41.1489,-8.60141,Entire home/apt,35,2,421,2022-12-14,4.58,3,171,43,13418/AL
Design Sea House,31237141,João - Rita,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15288,-8.67496,Entire home/apt,105,2,171,2022-10-27,1.84,6,329,25,50893/AL
charming apartment in downtown Porto 1,1266562,Lovely,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14491,-8.60444,Entire home/apt,62,2,187,2022-11-28,2.04,18,313,29,6766/AL
So Cool Hostel Porto!,7226039,So Cool Hostel Porto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15628,-8.62302,Shared room,27,1,46,2022-10-15,0.51,12,240,9,6686/AL
T2 Terrasse centre de caves Porto,28050358,Reis De Gaia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13705,-8.61284,Private room,125,1,33,2022-10-31,0.36,6,5,17,
Casa típica da aldeia,18318580,Isabel,VALE DE CAMBRA,Roge,40.86757,-8.34036,Entire home/apt,70,2,10,2022-09-25,0.11,4,349,7,4480
Vintage Apt I 10-12 People - 2 Free Parking,31222173,Marta,PORTO,Bonfim,41.155888,-8.602356,Entire home/apt,335,2,116,2022-09-18,1.25,3,324,14,24177/AL
GuestReady - Belle Epoque Apartments - 3.1,15809545,Olivia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14404,-8.6121,Entire home/apt,43,1,163,2022-12-11,1.75,7,284,62,14517 AL
Chalé com  grande jardim,33751627,José,MAIA,Águas Santas,41.21725,-8.55929,Entire home/apt,514,2,0,,,1,365,0,
Portodouro - Santa Catarina T8,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15312,-8.60487,Entire home/apt,75,3,37,2022-10-17,0.4,10,362,11,6701/AL
Cosy flat at 5min from center Porto,31292333,Andreia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16046,-8.63192,Entire home/apt,34,2,257,2022-11-29,2.8,1,274,42,10231/AL
Porto RiverView flat,24585133,Pedro Gil,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13539,-8.60862,Entire home/apt,115,2,355,2022-11-10,3.91,1,310,48,17988/AL
GuestReady - Belle Epoque Apartment - 2.1,15809545,Olivia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14363,-8.61362,Entire home/apt,43,1,151,2022-12-11,1.7,7,296,54,13952 AL
GuestReady - Belle Epoque Apartments - 2.2,15809545,Olivia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1429,-8.61374,Entire home/apt,43,1,105,2022-12-12,1.2,7,283,51,14519/AL
Casa do Plátano,31399107,Maria De Los Angeles,VILA NOVA DE GAIA,Arcozelo,41.040882,-8.650163,Entire home/apt,186,4,85,2022-11-20,0.95,1,318,24,22876/AL
Apartment by the Beach - 20282/AL,27461678,Inês,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15584,-8.68041,Entire home/apt,70,2,126,2022-10-01,1.35,1,291,15,20282/AL
Lvsiadas Apartments - Discover Porto,33807740,Lvsiadas Apartments,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15927,-8.60949,Entire home/apt,62,60,31,2020-01-16,0.34,3,349,0,13280/AL
Poveiros Apartment,18651903,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14654,-8.60348,Entire home/apt,50,2,309,2020-03-14,3.35,3,0,0,66502/AL
Av Apartments Ii,2015743,Susana & Alfredo,PORTO,Bonfim,41.14774,-8.60172,Entire home/apt,86,1,130,2022-11-09,1.42,6,310,21,24343/AL
Private room in the center of city,33832797,Carlos,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15284,-8.60465,Private room,24,2,380,2022-11-29,4.14,2,331,55,62502/Al
"Cosy, river view, historical centre",31223414,Sonia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13945,-8.61529,Entire home/apt,69,3,207,2022-12-04,2.24,1,139,33,12338/AL
Downtown Apartment,32788217,Miguel,PORTO,Bonfim,41.14965,-8.60129,Entire home/apt,35,2,421,2022-12-12,4.6,3,142,26,13429/AL
HeartMade Loft,17039060,Lofts Of Sensations,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15221,-8.61374,Entire home/apt,82,2,248,2022-11-12,2.65,11,364,30,26856/AL
Peaceful cottage near the centre of Porto,29508532,Catarina,PORTO,Ramalde,41.18018,-8.64345,Entire home/apt,52,2,169,2020-02-29,1.8,1,0,0,89950/AL
Apartamento da Ponte Luís I - 3 Bathroom,23867672,Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13644,-8.60677,Entire home/apt,100,4,88,2022-11-05,0.97,3,287,20,10394/AL
Casa vila piscatória da Afurada,31712566,Ana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14153,-8.64699,Entire home/apt,90,2,89,2022-10-18,0.99,1,354,9,41369/AL
The Casa da Música apartment,31542272,Alina,PORTO,Ramalde,41.164,-8.6353,Entire home/apt,34,2,74,2018-02-09,0.81,2,0,0,
Bel appartement familial...,28050358,Reis De Gaia,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1367,-8.61121,Entire home/apt,109,1,45,2022-11-03,0.48,6,33,23,1047
Casa da Catedral - historic centre,12626324,Nuno E Raquel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14332,-8.60964,Entire home/apt,60,3,304,2022-12-13,3.32,2,66,47,20402/AL
Apartment Sao Nicolau Porto,6410302,Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13995,-8.61535,Entire home/apt,58,2,358,2022-12-03,3.88,2,219,48,7057/AL
Make yourself at home!,29525698,Sara,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.19118,-8.63071,Entire home/apt,34,7,171,2020-01-04,1.82,1,0,0,47026/AL
Sunny Room With Private Balcony,29634304,Jose,PORTO,Ramalde,41.16291,-8.63243,Private room,20,3,72,2019-06-23,0.94,1,0,0,Exempt
Apartamento Galerias,33927255,Paulo,PORTO,Ramalde,41.17554,-8.62789,Entire home/apt,90,3,0,,,1,0,0,14001/AL
Porto Architecture and Cool Design,692475,Cristina,PORTO,Paranhos,41.16781,-8.59408,Entire home/apt,50,2,17,2022-08-29,0.19,1,364,4,19068/AL
Douro Sailing - Noite a Bordo,33977763,Pedro,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.14339,-8.64882,Entire home/apt,125,1,73,2022-10-30,0.8,1,362,22,445/2014
Attic suite with incredible view,29674300,Cristiano,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1434,-8.61487,Private room,50,2,469,2022-11-21,5.05,1,354,50,54450/AL
Garden apartment - walk to center,31731597,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16338,-8.61132,Entire home/apt,76,3,69,2022-08-21,0.74,6,318,4,65808
Praia do Mindelo,31734205,Carlos,VILA DO CONDE,Mindelo,41.31228,-8.739,Entire home/apt,38,5,8,2019-08-03,0.09,1,345,0,
Apartamento Século XIX 2,20397743,Patrícia E Bruno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14949,-8.61547,Entire home/apt,43,1,513,2022-12-06,5.54,6,345,60,
Garden House,34191664,Bernardo,PORTO,Paranhos,41.17949,-8.61422,Private room,30,2,228,2022-11-14,2.49,2,358,20,Exempt
Ground floor flat in Garden,31731597,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16229,-8.61174,Entire home/apt,76,3,49,2022-08-28,0.53,6,318,2,65806/AL
Costa Cabral - Porto Apartment,34222125,Vânia,PORTO,Paranhos,41.16308,-8.60273,Entire home/apt,180,1,90,2022-12-11,0.98,1,362,8,3980/AL
Best Location Porto,26124658,Madalena,PORTO,Lordelo do Ouro e Massarelos,41.15856,-8.66518,Entire home/apt,135,30,3,2022-08-31,0.05,1,274,2,
Porto townhouse flat-walk to center,31731597,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16209,-8.61176,Entire home/apt,69,3,33,2022-08-25,0.36,6,318,4,9825
"LVPremier Clerigos RE2- space, lift, AC, balcony",181902,Jose Luz,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14607,-8.62058,Entire home/apt,238,1,99,2022-11-27,1.1,7,281,13,112665/AL
Casa de Madeira,35560754,David,OLIVEIRA DE AZEMÉIS,"Pinheiro da Bemposta, Travanca e Palmaz",40.80737,-8.45918,Entire home/apt,60,2,13,2020-09-03,0.14,1,327,0,23543/AL
Maison de vacances T5 au Portugal,34388920,Fabienne,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.4124,-8.7361,Entire home/apt,50,4,20,2022-08-22,0.23,1,220,5,
Aniki Porto Riverside,17457654,Cláudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14123,-8.61192,Entire home/apt,81,3,111,2022-10-30,1.23,2,249,23,5916/AL
Feel Porto Downtown Poets Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1504,-8.6069,Entire home/apt,238,1,65,2022-11-21,0.71,86,324,5,18668/AL
"#1 | OPO | Torrinha | ""Old Radio""",34467922,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15239,-8.61853,Private room,28,2,231,2022-12-03,2.55,6,346,37,24590/AL
Light Studio - Historic center,35643614,Maria De Lourdes,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15392,-8.6078,Entire home/apt,41,4,270,2022-11-22,2.97,1,75,26,18584/AL
Feel Porto Historic Cozy Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1433,-8.60986,Entire home/apt,131,1,38,2022-07-12,0.42,86,355,3,26403/AL
ORM - Bolhão 01 Apartment,19887538,Oporto Rental Management,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15056,-8.6086,Entire home/apt,42,1,163,2022-11-06,1.79,42,346,17,34092/AL
Feel Porto Historic Boutique Flat,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14333,-8.60987,Entire home/apt,143,1,107,2022-10-12,1.17,86,319,13,26389/AL
1 bedroom in historic neighborhood,34499587,Ana Rute,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12864,-8.61205,Entire home/apt,87,2,34,2022-09-06,0.38,9,229,2,115517/AL
Fantastic Apartment close to Center,31950563,Nelson,PORTO,Lordelo do Ouro e Massarelos,41.14646,-8.63102,Entire home/apt,64,4,228,2020-08-29,2.46,1,0,0,7815/AL
Trindade House. Cozy fully equiped!,6369029,Teresa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15366,-8.60777,Private room,18,2,98,2022-11-27,1.09,14,12,41,
Apartment D João IV T4 (Downtown),33909357,R&R Housing AL,PORTO,Bonfim,41.1515,-8.603,Entire home/apt,80,4,21,2022-08-19,0.23,4,0,1,Licence nº 15228/AL
Home sweet Home!,31995253,Denise,VILA NOVA DE GAIA,São Félix da Marinha,41.02578,-8.63036,Entire home/apt,52,3,105,2022-11-09,1.16,1,268,14,51262/AL
Lulapartment,35821827,Cristina & Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15972,-8.61203,Entire home/apt,47,2,396,2022-12-13,4.36,3,297,62,24321/AL
dowtown vintage apartment & patio,8935422,Paula,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14935,-8.60396,Entire home/apt,138,2,171,2022-08-28,1.9,1,269,9,14810/AL
Visit Porto with your family or friends! (6P+2),2015743,Susana & Alfredo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14906,-8.6033,Entire home/apt,200,2,51,2022-11-04,0.56,6,310,7,24343/AL
Cedofeita - BednBike,32076925,Franceline,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15756,-8.6221,Entire home/apt,35,3,215,2021-10-16,2.69,1,0,0,82280/AL
Alegria 2º TRS,217380031,Mord,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14899,-8.60457,Entire home/apt,46,1,103,2020-12-04,1.13,7,0,0,66452/AL
Beachfront apartment with pool.,35829512,Hugo,VILA NOVA DE GAIA,Madalena,41.1035,-8.6608,Entire home/apt,106,3,76,2022-11-14,0.98,3,187,29,92563/AL
Serena's House - 1st line of the beach,13748110,G. Carriços,VILA DO CONDE,Vila Chã,41.29253,-8.73369,Entire home/apt,65,2,41,2022-10-31,0.47,1,313,16,AL12370
Domum | Turistic Apart.  T1,23800078,Domum,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14827,-8.61969,Entire home/apt,68,2,15,2018-01-21,0.17,5,214,0,55903/AL
Superb balcony over Porto & river,33237153,Bruno,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13887,-8.60991,Entire home/apt,155,2,62,2022-11-04,0.75,3,200,30,19822/AL
Bedroom in the centre-Trindade,2514783,Pedro,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15676,-8.60981,Private room,34,3,70,2022-10-05,0.78,5,172,16,102656/AL
Your Place Porto II - Estúdio,35902169,Manuel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14685,-8.60437,Entire home/apt,33,2,314,2022-11-22,3.46,2,310,20,33333/AL
Casas do Teatro- STUDIO T0,23703741,Casas,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14464,-8.60807,Entire home/apt,60,1,37,2019-06-13,0.4,1,164,0,
ORM - Bolhão 2 Apartment,19887538,Oporto Rental Management,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15063,-8.6087,Entire home/apt,42,1,156,2022-11-02,1.71,42,352,11,64825/AL
House in the Center of Porto,33747440,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14884,-8.61622,Entire home/apt,37,1,339,2020-08-15,3.7,2,4,0,28858/AL
