name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Banho de Mar,217398285,Manuel,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.3803,-8.765,Entire home/apt,70,3,4,2022-10-09,0.17,3,323,2,Nº78483
Oporto2All Apartments - Apt.1,220940756,Oporto2All,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13456,-8.61224,Entire home/apt,20,3,25,2019-11-25,0.52,7,168,0,9196/AL
Bungalow de Sonho perto da cidade do Porto,217609800,Pedro,SANTO TIRSO,"Areias, Sequeiró, Lama e Palmeira",41.36918,-8.46178,Entire home/apt,60,2,83,2022-11-27,1.63,1,343,31,Exempt
Oporto2All Apartments - Apt.3,220940756,Oporto2All,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13695,-8.61123,Entire home/apt,14,3,26,2021-09-09,0.56,7,169,0,48743/AL
Oporto2All Apartments - Apt.4,220940756,Oporto2All,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1364,-8.61332,Entire home/apt,45,2,53,2022-10-16,1.06,7,358,16,52574/AL
AgudaRoom II (Sea View + Private WC),155583090,Mário,VILA NOVA DE GAIA,Arcozelo,41.05269,-8.65401,Private room,25,3,51,2022-10-18,1.18,3,275,26,85295/AL
OPORTMENTS - T2,221327455,Afonso,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14933,-8.61494,Entire home/apt,70,3,62,2022-11-14,1.28,3,111,48,72881/AL
Lovely Room with View,204743954,Santa Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14776,-8.60746,Hotel room,91,1,1,2022-08-18,0.25,5,292,1,117114/AL
Central Suites 2 - Quarto A,34604200,Central,SÃO JOÃO DA MADEIRA,São João da Madeira,40.90046,-8.49325,Private room,58,1,0,,,22,0,0,61571/AL
Santa Catarina Room w/ Terrace,204743954,Santa Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1458,-8.60785,Hotel room,88,1,0,,,5,249,0,117114/AL
Cozy Room,204743954,Santa Catarina,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14774,-8.60785,Hotel room,83,1,0,,,5,255,0,117114/AL
B28 Apartments 1A,214755900,B28,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14316,-8.61643,Private room,295,2,2,2019-04-19,0.04,2,333,0,73965/AL
GuestReady - Mezuzah Yellow,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14253,-8.61308,Entire home/apt,42,1,253,2022-12-13,4.93,245,267,75,83624/AL
OPORTMENTS - T1,221327455,Afonso,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14954,-8.61493,Entire home/apt,52,3,63,2022-12-03,1.32,3,128,38,72881/AL
CM - Antas Studio 8.23 with parking,205439415,Chão De Memórias,PORTO,Campanhã,41.16479,-8.58312,Entire home/apt,62,2,38,2022-11-21,0.74,4,348,22,78575/AL
The Sunny Yellow Ambience in a Garden Retreat,31849564,Inocencio,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14784,-8.60981,Entire home/apt,36,3,112,2022-11-24,2.21,5,238,26,67222/AL
GuestReady - Mezuzah Green,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14193,-8.61373,Entire home/apt,54,1,236,2022-12-06,4.61,245,233,62,83627/AL
Loft Ribeira,115489769,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13935,-8.61475,Entire home/apt,120,2,152,2022-11-20,2.99,1,342,65,83560/AL
Porto317 Loft,123099527,Abilio / Maria,PORTO,Bonfim,41.15875,-8.60356,Entire home/apt,37,2,118,2022-12-10,2.32,1,73,36,83291/AL
★ Oporto Sweet Home I  - two bedroom apartment,217369070,Brenno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15248,-8.61101,Entire home/apt,57,1,112,2022-11-27,2.2,5,356,24,121510/AL
Click! Apartment by JC,124472632,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15361,-8.61335,Entire home/apt,68,2,5,2022-10-08,0.1,22,359,2,52647/AL
Galizia Flat,80776491,Alexandra,PORTO,Lordelo do Ouro e Massarelos,41.15226,-8.6257,Entire home/apt,83,2,36,2022-07-10,0.71,1,25,2,48651/AL
Porto loft,216553589,Mariana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15602,-8.62572,Entire home/apt,66,2,3,2018-10-10,0.06,1,0,0,83800/AL
Mira Maia Apartment,253725833,Francisca,MAIA,Moreira,41.25464,-8.65328,Entire home/apt,60,1,63,2022-10-31,1.26,1,202,21,83287/AL
CM - Antas Studio 15.25,205439415,Chão De Memórias,PORTO,Campanhã,41.16377,-8.5835,Entire home/apt,60,2,37,2022-11-20,0.76,4,349,16,79890/AL
